Bolton	geonames:2655237	GB	53.58333	-2.43333
Skiddaw	geonames:2637715	GB	54.65209	-3.14873
Saddleback	geonames:2638880	GB	54.64151	-3.05017
Bolton	geonames:2655237	GB	53.58333	-2.43333
Cumbria	geonames:2651712	GB	54.58333	-2.83333
Skiddaw	geonames:2637715	GB	54.65209	-3.14873
Saddleback	geonames:2638880	GB	54.64151	-3.05017
Sir Walter Scott	geonames:880937	ZW	-18.80373	29.67773
Cumbria	geonames:2651712	GB	54.58333	-2.83333
Scotland	geonames:2638360	GB	56	-4
Skiddaw	geonames:2637715	GB	54.65209	-3.14873
Saddleback	geonames:2638880	GB	54.64151	-3.05017
Edinburgh	geonames:2650225	GB	55.95206	-3.19648
